epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.2800766689819284,0.947190928862931,0.9166837443359064,0.9837980499010288,0.9490558476154554,0.17588586035447243,0.943151932025086,0.9710177237766136,0.9664928436702541,0.96875
2,0.16488842582330107,0.9537401334278244,0.9264959228207189,0.9856797243469123,0.9551719238420006,0.14582542702555656,0.9505361116730731,0.9730299667036626,0.9727060912015977,0.9728680019974477
3,0.1444129422889091,0.9550841866034554,0.9269550863195543,0.9880257080716502,0.9565165960869668,0.1319511113449549,0.9570099130082945,0.9732201895525677,0.9798069455231333,0.9765024603306242
4,0.13919239286333324,0.9598128100486303,0.9376831821353803,0.9850932284157279,0.9608037086913516,0.12995056316065481,0.9565041472789804,0.9755124653739612,0.9768112726062355,0.9761614369664042
5,0.13030343085411006,0.9611202072285624,0.939142172263725,0.9861440336257667,0.9620693765645488,0.1248078065422865,0.9594375885090026,0.9756959787892179,0.9799178963719073,0.977802380293385
6,0.12972906624199823,0.9606192419540089,0.9364406779661016,0.9883189560372425,0.9616806762653224,0.1180833376561984,0.9614606514262594,0.9745986364636023,0.983357372683901,0.9789584138730878
7,0.1261603953957092,0.9614501111898536,0.9382223253655141,0.9879523960802522,0.9624453940555403,0.12042576079376233,0.9623710297390249,0.9760881542699724,0.982802618440031,0.9794338788146838
8,0.12545654358691535,0.9634539722880673,0.9429212013639123,0.9866327802350872,0.964281875828467,0.11802061712846924,0.9619664171555735,0.9768135144087446,0.9815821591035171,0.9791920309905922
9,0.1235081085935235,0.9648957747855624,0.9448393583687976,0.9874392121404658,0.9656696978025261,0.11710659333337577,0.9623710297390249,0.9761931004078034,0.982691667591257,0.9794316045560102
10,0.12282246818649582,0.9643214975196109,0.9431190093052543,0.9882456440458445,0.9651551312649165,0.11584033836156894,0.9619664171555735,0.97597266615232,0.982469765893709,0.9792104390136017
11,0.12195628876215778,0.964431465506708,0.9438346567024755,0.987634710784194,0.9652380554328226,0.11442477241731606,0.9626744891766134,0.976621085134539,0.982580716742483,0.9795918367346939
12,0.1206437023007311,0.9662764839568926,0.948204176552113,0.9864372815913589,0.9669429406410195,0.11342939927887458,0.9619664171555735,0.9771295989393437,0.9812493065571951,0.979185119574845
13,0.12245376947685145,0.9657388626866401,0.9469315010669981,0.9867794042178832,0.9664448805705806,0.11432596725913194,0.9624721828848877,0.9770368734820049,0.9819150116498391,0.9794698688506447
14,0.12028998311725445,0.9659221426651352,0.9466988426034394,0.9874392121404658,0.9666399531117305,0.11304671381815122,0.9632814080517904,0.9768467475192943,0.983024520137579,0.9799258972515622
15,0.11930064333137125,0.9664475452701546,0.9479056670186554,0.9871459641748735,0.9671279448381536,0.11417650951980016,0.9631802549059276,0.9771598808341608,0.982580716742483,0.9798628015047577
16,0.12124106754781679,0.9674372571540285,0.9493938539610939,0.9875125241318639,0.9680780978618914,0.11507526393502186,0.9637871737811046,0.9779127553837659,0.982469765893709,0.9801859641354882
17,0.1198392164427787,0.9658488306737372,0.945667929115818,0.9884900173505047,0.9666049345839058,0.10949763623424448,0.9648998583855958,0.9774129572498899,0.984244979474093,0.9808170711482116
18,0.12013317818637007,0.966899635883776,0.9476989408566876,0.9883433933677085,0.9675945309042191,0.11117668349582416,0.9634837143435161,0.9767467489530527,0.983357372683901,0.980040913363189
19,0.11852095142821781,0.9662764839568926,0.9460040672261051,0.9890032012902911,0.967025877517861,0.10909529025547016,0.9643940926562816,0.9764550555616679,0.9846887828691889,0.9805546348469782
20,0.11892268006922677,0.9679382224285819,0.9503727920596468,0.9874392121404658,0.968551499316858,0.11063312256756501,0.9637871737811046,0.9780183364630509,0.982358815044935,0.980183770618842
21,0.11933498512953519,0.9661542973045625,0.945928887018725,0.9888321399770289,0.9669048244880404,0.1091186655446505,0.9646975520938701,0.9767774598283073,0.9846887828691889,0.9807171666942925
22,0.11865640933974646,0.9660076733217663,0.9452057992669204,0.9893697612472814,0.9667836760035342,0.10943350895570639,0.9643940926562816,0.9766648321408916,0.9844668811716409,0.9805503370538181
23,0.12039679819718004,0.9679382224285819,0.9508181283107711,0.9869260282006793,0.9685356611827906,0.11153282583332978,0.9636860206352418,0.9780159080866107,0.9822478641961611,0.9801273180182674
24,0.11963531785295345,0.9674006011583295,0.9496226991701733,0.9871704015053395,0.968032590462497,0.11217755962831852,0.9637871737811046,0.978335359787775,0.9820259624986131,0.9801771871539313
