epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,1.1847322877733852,0.7014917789565677,0.7061953219415089,0.7014917789565677,0.6998050564092302,1.452735292560914,0.38390164694966367,0.3953972650397455,0.38390164694966367,0.3806407035897767
2,0.856692318643488,0.735900249984757,0.7425940312983565,0.735900249984757,0.7323926077621407,1.4421762052704306,0.4087218742751102,0.4227866454005809,0.4087218742751102,0.39068875364941025
3,0.7692414992652417,0.7524846045972806,0.7526110727769635,0.7524846045972806,0.7506051381977721,1.3967214892892277,0.4068661563442357,0.41060832765663857,0.4068661563442357,0.3977720396157914
4,0.724703654976288,0.762209621364551,0.7662277674684385,0.762209621364551,0.7610944135657647,1.4132601127905005,0.41869635815356065,0.4229219817905607,0.41869635815356065,0.4010523757290034
5,0.6917939365142654,0.7678495213706481,0.7724784899723613,0.7678495213706481,0.7667965021100407,1.4165040517554564,0.42217582927395036,0.4284829164335046,0.42217582927395036,0.4106021079690221
6,0.6713110466229745,0.7770257911102981,0.7788514239356615,0.7770257911102981,0.775709668328991,1.4078334955608143,0.42646717698909764,0.43097163863000637,0.42646717698909764,0.4118239195996918
7,0.6549214253344988,0.777696481921834,0.7833463801328373,0.777696481921834,0.7776091722310168,1.4014348580556757,0.4199721642310369,0.4265020491437861,0.4199721642310369,0.41025761705935554
8,0.6430601572571867,0.7836818893156922,0.7801564519856885,0.7836818893156922,0.7813344946998726,1.3860012731131386,0.4236836000927859,0.4268628933102383,0.4236836000927859,0.4208747584304918
9,0.6312684913217944,0.7846472776050241,0.7863988954328591,0.7846472776050241,0.7827853974642042,1.4045440379311056,0.42530735328230107,0.4244485030091616,0.42530735328230107,0.4063040075126042
10,0.621209017903349,0.7860191451740748,0.7830352301185037,0.7860191451740748,0.7835977846247694,1.413120480144725,0.4228717234980283,0.42233432299685475,0.4228717234980283,0.41289418966611385
11,0.6149141491622081,0.7883157531044855,0.7885790893240443,0.7883157531044855,0.7867550826894976,1.4216440898530625,0.42217582927395036,0.42612722907144335,0.42217582927395036,0.4134873881682655
12,0.6090885957676351,0.7894335711237119,0.7888422945868618,0.7894335711237119,0.7882120233310381,1.4088675134322222,0.42739503595453493,0.42463893608747366,0.42739503595453493,0.41437198241251694
13,0.6021058871005074,0.7922179541897851,0.7912667892824438,0.7922179541897851,0.7902424489842483,1.4154010765692766,0.42136395267919274,0.4247112962697837,0.42136395267919274,0.41153206005142856
