epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,1.1672300909523536,0.6445033839400036,0.6474579185800683,0.6445033839400036,0.6335231361547814,1.559052973985672,0.31883553699837625,0.3489797537858797,0.31883553699837625,0.311004257907779
2,0.9369966957442007,0.6671849277483081,0.6768551678317164,0.6671849277483081,0.6621488736136244,1.4760242507738226,0.3353050336348875,0.35507513119453243,0.3353050336348875,0.3238934150337125
3,0.8875014864886845,0.6488831981789728,0.6849757592409406,0.6488831981789728,0.6284453086908706,1.5659573183340185,0.33658083971236374,0.34664868270825594,0.33658083971236374,0.289085648643074
4,0.863589642881882,0.6858118407414182,0.6992495430159352,0.6858118407414182,0.6813054237933,1.5059405915877397,0.3501507770818836,0.3701006298566431,0.3501507770818836,0.32678578750207604
5,0.8383153355323136,0.693473975164116,0.7095459481648678,0.693473975164116,0.6902073223117672,1.5453757205430199,0.34620737647877525,0.3676226846564709,0.34620737647877525,0.3327875027313156
6,0.8261974664751358,0.6890027030872101,0.7043428443622048,0.6890027030872101,0.6804632060824488,1.570167774663252,0.3404082579447924,0.34681456837354446,0.3404082579447924,0.32677591082405394
7,0.8137677060767174,0.6994390585939881,0.7099568177856918,0.6994390585939881,0.693997482719605,1.5608269852750443,0.360821155184412,0.3730355940046948,0.360821155184412,0.3364048414352224
8,0.8044985698630502,0.7075381582423836,0.7115287901982766,0.7075381582423836,0.7032849228326848,1.5736830111812143,0.34887497100440734,0.3573874955692228,0.34887497100440734,0.3405059508958012
9,0.7937632417027755,0.7047131272483386,0.7279005016324145,0.7047131272483386,0.6986003848184817,1.5832365120158476,0.3582695430294595,0.38685840356166823,0.3582695430294595,0.3299820884906091
10,0.7900845286750049,0.7082393349998983,0.7194781711225017,0.7082393349998983,0.7007203331796497,1.5896930326433742,0.3603572257016933,0.3755433121970068,0.3603572257016933,0.35044540699007115
11,0.7811683088502276,0.7159319553685751,0.7238808831041189,0.7159319553685751,0.7119058528374846,1.5844015233656938,0.3562978427279054,0.37266067086289706,0.3562978427279054,0.34318551209048725
12,0.7754884897034872,0.7177306261813304,0.7274598675236293,0.7177306261813304,0.7147340230331077,1.5271591614274418,0.364532591046161,0.37682716271989425,0.364532591046161,0.3471612708666708
13,0.7720235566013967,0.7242749425848017,0.7317550698953064,0.7242749425848017,0.7192876302692568,1.6725193051730884,0.36256089074460685,0.3828179395799846,0.36256089074460685,0.34609687677265205
14,0.7659688569866945,0.719102493750381,0.7356803992825995,0.719102493750381,0.7130443398481456,1.5860985307132496,0.36464857341684065,0.3733896815624602,0.36464857341684065,0.3344879502547698
15,0.7620308395324975,0.7252809788021055,0.7361104803226636,0.7252809788021055,0.7204669739872605,1.5959488135926865,0.36406866156344236,0.37763475745581637,0.36406866156344236,0.3518094791891354
16,0.7546676460106134,0.7358494400747921,0.7446189581049293,0.7358494400747921,0.7309445208311978,1.597467864260954,0.3666202737183948,0.38416166655365075,0.3666202737183948,0.3485519660100067
17,0.7527928918948874,0.7304940755644981,0.7343542893762396,0.7304940755644981,0.7237580308148148,1.6691382176735823,0.36012526096033404,0.3793652764327872,0.36012526096033404,0.3422409407294015
